id,address,city
75673,"Shafiq Manzil,72-Beadon Road,P.O. Box 6335 G.P.O",Lahore
75674,"15-C,New Muslim Town",Lahore
75675,"# 67,4th Floor,Hafeez Centre,Main Boulevard,Gulberg III",Lahore
75676,"23/B,PCSIR Housing Society,New Campus Road",Lahore
75677,"Pathranwali Street,O/s Shahalam Gate",Lahore
75678,"Al-Karim Centre,Rehman Gali-5,Brandrath Road",Lahore
75679,"Zaman Plaza,Basement S.No.20-B,Hall Road",Lahore
75680,"1,Harson Street,Ravi Road",Lahore
75682,"75-B,Guldast Town,Near Rangers HQs.,Ghazi Road",Lahore
75683,"4-A,Lawrance Road",Lahore
75684,"H-39,L.C.C.H.S.,Defence",Lahore
75685,"242-S,Small Industrial Estate,Kot Lakhpat",Lahore
75686,"8-E,Tegore Park,Nicholson Road",Lahore
75687,"92,Farooq-e-Azam Park,Main Out Fall Road",Lahore
75688,"419-Sarhandi Road,Samanabad",Lahore
75689,"Flat #12,2nd Floor,Shan Arcade,Civic Centre,New Garden Town",Lahore
75690,"Main Boulevard,Defence",Lahore
75691,"Office #3,3rd Flr.,Qadri Plaza,Near Capital Cinema",Lahore
75692,"12,1st Flr.,Mian Medicine Mkt.,Lohari Chowk,Anarkali",Lahore
75693,"UG-28,Railway Society Plaza,Alama iqbal Road,Ghari Shahu",Lahore
75694,"9-B,Ali Hites,Karim Block,Allama Iqbal Town",Lahore
75695,"686-Shadman Blvd, opp Fatima Memorial Hospital,",Lahore
75696,"Room #20,2nd Floor,Taj Arcade,73-Jail Road",Lahore
75697,"10-F,Fatima Centre (14/A),Queens Road",Lahore
75698,"304-N,Samanabad",Lahore
75699,"E-640,Nadirabad,Badian Road,Cantt.",Lahore
75700,"68-C-3,Gulberg III",Lahore
75701,"28-A,Moulana Shoukat Ali Road,Johar Town",Lahore
75702,"275-16-B1,Township",Lahore
75703,"Shop No.7-Ali Heights,N/O Allied Bank,Kareem Block,Allama Iqbal Town",Lahore
75704,"24,Manhore Street,Nichlson Road",Lahore
75705,"Sheikh Bldg.,4-Royal Park",Lahore
75706,8-Davis Road,Lahore
75707,"4-B,Chamba House Lane,GOR-1,P.O.Box:2353",Lahore
75708,"35-Sherpao Bridge Colony,Cantt.",Lahore
75709,44-Ferozpur Road,Lahore
75710,"11,Rawalpindi Block,Fortress Stadium,Cantt.",Lahore
75711,17-Abid Majeed Road,Lahore
75712,"39-N,Indus. Area,Gulberg-II",Lahore
75713,"2,Saeed Building,Nabha Road,Opp.Custom House",Lahore
75714,"4-Daras Road,Mughalpura",Lahore
75715,"98-Muhammadia Colony,Data Nagar,Badami Bagh",Lahore
75716,"9/10,C.B Shopping Centre,Abid Majeed Road,Cantt.",Lahore
75717,"42,Shahrah-e-Quaid-e-Azam",Lahore
75718,"15-A/E-1,Gulberg III",Lahore
75719,"57,Circular Road",Lahore
75720,"11-Rawalpindi Block,Fortress Stadium",Lahore
75721,"58-A,Timber Market,Ravi Road",Lahore
75722,156-Multan Road,Lahore
75723,"18/B,Naliha Road",Lahore
75724,"BS-15/1-A,Muslim Street #6,Nasir Park,Toheed Road,Bilal Gunj",Lahore
75725,"#5,2nd Floor,Omer Arcade,22-Queens Road",Lahore
75726,"4/B-1,Plot No.511,Abu Baker Road,Township",Lahore
75727,"F-17,Khawaja Arcade,1st Floor,Wahadat Road",Lahore
75728,88-Railway Road,Lahore
75729,"26-B,Sunderdas Road,Zaman Park",Lahore
75730,"Mini Market 16-L,1st Floor,Gulberg-II",Lahore
75731,"12/B,Shah Alam Market",Lahore
75732,"F-5,Bilal Centre,9-Nicholson Road",Lahore
75733,Badami Bagh,Lahore
75734,"168-K,Model Town",Lahore
75735,"4th Floor,Ajmal House,27-Egerton Road",Lahore
75736,Badami Bagh,Lahore
75737,"7 Afzal Market,Brandreth Road,Rahman Gali No.2",Lahore
75738,"11-Fazal Manzil,Beadon Road",Lahore
75739,"Harbance Pura,Post Off. Tajpura",Lahore
75740,"108,Qadri Chamber,5-Mcleod Road",Lahore
75741,"134-S,PECO Road,Kot Lakhpat",Lahore
75742,"20,Hall Road",Lahore
75743,"103,B-1,M.M. Alam Road,Gulberg-III",Lahore
75744,"67-G.T.Road,Hide Market",Lahore
75745,"76-D-1,Gulberg III",Lahore
75746,30-Mclagon Road,Lahore
75747,"17/S,Industrial Estate,Kot Lakhpat",Lahore
75748,"Rahman Gali No.6,88-Railway Road",Lahore
75749,"64-A,E-1,Gulberg-III",Lahore
75750,"64-A/E-1,Gulberg-III",Lahore
75751,"49-A,Jail Road",Lahore
75752,"49-D,Jail Road",Lahore
75753,"21-F,1st Floor Gulberg Centre,Main Boulevard",Lahore
75754,"1st Floor,EFU Building,6-D,Jail Road",Lahore
75755,C 110 Upper Mall,Lahore
75756,"Gulberg Centre,10-S 84/D/1,Main Boulevard,Gulberg-III",Lahore
75757,"8-9-10,Bolan Block,Fortress Stadium",Lahore
75758,"Mian Chambers,3-Temple Road",Lahore
75760,"827-Z,L.C.C.H.S.",Lahore
75761,"Office # 60,3rd Floor,Hafiz Centre",Lahore
75762,"18-D,Ghazi Park,Peco Road,Opp. Treet Corp.,Kot Lakhpat",Lahore
75763,"51,C-2,Ghalib Road,Gulberg-III",Lahore
75764,"Suit #08,1st Floor,Umer Arcade,22 Queens Road",Lahore
75765,"Paisa Akhbar,14-Trust Bldg.,Chowk Urdu Bazar,Post Box No.1338",Lahore
75766,"Sharif Chamber,68-Mozang Road",Lahore
75767,"1.6-KM.,Kattar Bund Road",Lahore
75768,"6-P,Model Town Extension,Near NESPAK",Lahore
75769,"9-B,Paradise Apartments,Main Boulevard,Defence,Cantt.",Lahore
75770,"6-Lal Maqsood Building,57-Circular Road",Lahore
75771,"69/7 Green Villas,Gulberg IV,Syed Muratab Ali Road",Lahore
75772,"177-K,Model Town",Lahore
75773,"166,New Anarkali",Lahore
75774,"12-13,Syed Plaza,Ferozepur Rd.",Lahore
75775,"10,2nd Floor,Kashif Chamber,6-Lodge Road,Old Anarkali,P.O. Box 962",Lahore
75776,"G-6,Queen's Center,33-Queens Road",Lahore
75777,"3/4,Industrial Area,Kot Lakhpat",Lahore
75778,"#28-30,2nd Floor,Fazal Bldg.,Cooper Road",Lahore
75779,"Umer Town,Majid Street,Shera Kot,Bund Road",Lahore
75780,"18-Nadeem Park,Peco Road,Kot Lakhpat",Lahore
75781,"Akbar Shaheed Road,Kot Lakhpat",Lahore
75782,"14-B,Khawaja Arcade,17-Wahdat Road",Lahore
75783,18-KM. Multan Road,Lahore
75784,"3-Khalid Centre,Wahdat Road,Opp.Kamran Block,Gulshan-e-Iqbal Town",Lahore
75785,"4-F Hafeez Chambers,85,Shahrah-e-Quaid-e-Azam",Lahore
75786,"18,C-3,Model Town",Lahore
75787,"11-A,Canal Park,Gulberg II",Lahore
75788,"7-G,Hafeez Centre,Main Boulevard,Gulberg",Lahore
75790,"3-K,Block-L,Gulberg-III",Lahore
75791,"Associated House,2nd Floor,7-Egerton Road",Lahore
75792,"68-B / C III, Gulberg III",Lahore
75793,"134-H,L.C.C.H.S.,Defence",Lahore
75794,"7-B,Masson Road,P.O.Box: 784",Lahore
75795,"50-Iftikhar Building,Chouburji",Lahore
75796,"1,Chamba House,Lane GOR-1",Lahore
75797,"Ahmed Arcade 161,Ferozepur Rd.",Lahore
75798,"H.No.3,St.No.44,Tagore Park,89, Mcleod Road",Lahore
75799,"T/2,3rd Floor,Bilal Centre,9-Nicholson Road",Lahore
75800,"Akram Complex,Link Road,Model Town",Lahore
75801,"1-C-4,Sher Shah Road,Nafirabad,Shalimar Town",Lahore
75802,"500-Moza,Pindi Rajputan,Wahid Road,Kot Lakhpat",Lahore
75803,"39,Shalimar Road,Garhi Shahu",Lahore
75804,108-Tipu Block New Garden Town,Lahore
75805,151-Ferozepur Road,Lahore
75806,"41,Commercial Zone,Liberty Market,Gulberg",Lahore
75807,"96-F,Model Town",Lahore
75808,"35-Empress Road,Opp.Radio Station",Lahore
75809,"13-Khalid St.,95-Alamgir Road,Islampura",Lahore
75810,"Street No.3,Sumaira Manzil,4-Mozang Road",Lahore
75811,"Flat 2,1st Flr.,Khawaja Arcade,17-Wahdat Road",Lahore
75812,"14, Belgium Square,Sharah-e-Quaid-e-Azam",Lahore
75813,"27/6,Mehmood Mkt,Old Anarkali,Behind Commercial Building",Lahore
75814,"Old G.T.Road,Shahdara",Lahore
75815,"Old G.T.Road,Shahdara",Lahore
75816,"Old G.T.Road,Shahdara",Lahore
75817,"2 Dil Mohammad Road Chowk,Dalgaran",Lahore
75818,"48,Firdaus Park,Out Fall Road",Lahore
75819,"718-D,Opp: Post Office,Lohari Mandi",Lahore
75820,"6,Jehangir Road,Bhogiwal,Baghbanpura",Lahore
75821,"347-S,Industrial Estate,Township,Kotlakhpat",Lahore
75822,"1st Floor,14-Commercial Area,Cavalry Ground,Cantt.",Lahore
75823,11-Abbot Road,Lahore
75824,"225-1,Mustafa Abad",Lahore
75825,"12-B,Hospital Road,Anarkali",Lahore
75826,"Empress House,23 Empress Road",Lahore
75827,"Suit #15,3rd Flr.,Shan Arcade,Civic Centre,New Garden Town",Lahore
75828,"129-C/1,Model Town",Lahore
75829,"Kothalia Mansion,2-Mcleod Road",Lahore
75830,"157/2,Behind NDFC Bank,Chowk Muslim Town,Ferozepur Rd",Lahore
75831,"Shop No.37-A,Bagh-e-Rahmat,Trust Market,Bilal Town,Badian Road",Lahore
75832,"Rahim Electronics Market,16-Hall Road",Lahore
75833,118-G.T.Road,Lahore
75834,"6/E,Imtiaz Centre,1st Floor,Main Market Gulber-II",Lahore
75835,"Kisan Street #5 Circular Road,O/S Akbari Gate",Lahore
75836,"Gardee Trust Building,Napier Road",Lahore
75837,"Al-Madina Road,Township Main Market",Lahore
75838,"74-A-C/1,Gulberg 3",Lahore
75839,"50-Agro Square,Shadman Market",Lahore
75840,"42,Al-Hafeez Centre,1st Floor,Gulberg-III",Lahore
75841,"#192,St.#5,Off Abid Majeed Rd.,Cantt.",Lahore
75842,"Mendoza House,148-Garden Block,Garden Town",Lahore
75843,"Chattan Building,88-Mcleod Road",Lahore
75844,"Bahawal Sher Road,Opp. Iftikhar Bldg.,Chauburji",Lahore
75845,"4-A,Mozang Road,Near Family Hospital",Lahore
75846,"6-C,LDA Complex,Lawrence Road",Lahore
75847,2-Mozang Road,Lahore
75848,2-Mozang Road,Lahore
75849,"1,Beadon Road",Lahore
75850,"48-Nishter Road,(Brandreth Road)",Lahore
75851,"3-C,Zafar Ali Road,Gulberge V",Lahore
75852,"48,1st Floor,Brandreth Road",Lahore
75853,"278-A,Venus Housing,17-KM. Ferozepur Road",Lahore
75854,"3-C,Zafar Ali Road,Gulberge V",Lahore
75855,8/8 Sultan Pura,Lahore
75856,"E-29/7-E, R.No.4 Ghousia Colny",Lahore
75857,"Chaudhry Center, 2-H Karim Block, Allama  Block,Allama Iqbal Town",Lahore
75858,"E-32,Phase-I,L.C.C.H.",Lahore
75859,"Liberty Market,Gulberg-III",Lahore
75860,"19-A,Abbot Road",Lahore
75861,"Room No.17,3rd Floor,Saddiq Plaza,69-The Mall",Lahore
75862,"100-Meters Niazi Shaheed Chowk,Gohushala Bund Road",Lahore
75863,"13.A,Ravi Road,Near Baba Chhatri Wala",Lahore
75864,"169-General Bus Stand,Badami Bagh",Lahore
75865,7-Brandreth Road,Lahore
75866,"32-M,Civic Centre,Model Town Extension",Lahore
75867,13-Nicolson Road,Lahore
75868,"Ahsan Chamber,8-Syed Mouj Darya Road",Lahore
75869,"7,Chamberlain Road",Lahore
75870,"20,Badar Centre,86 Railway Road",Lahore
75871,"H-80,1st Floor,Comm. Phase-1,L.C.C.H.S.",Lahore
75872,"Shop No.6,Bobby Plaza,Opp:Munshi Hospital Bund Road",Lahore
75873,"27-S/7-C,Rehmanpura",Lahore
75874,"10 Block-G,M.A.Johar Town,Opp.International School",Lahore
75875,"42-E,Model Town",Lahore
75876,"28-S-53,Boharwala Chowk,Taq Din Road,Shalimar Town",Lahore
75877,"Kashana-e-Zanjani,125-D,Gulberg-II",Lahore
75878,"99,Railway Road,Australia Building",Lahore
75879,"5-Transport House,Egerton Road",Lahore
75880,"P-176 Siddiq Trade Center, Main Gulberg",Lahore
75881,"Basement,Ali Hassan Plaza,Jamia Ashrafia,Ferozepur Road",Lahore
75882,"88-A,Main Gulberg",Lahore
75883,"Room #36,2nd Floor,Taj Arcade,73-Jail Road",Lahore
75884,"Flat No.4,2nd Flr.Trade Centre,180-Multan Road",Lahore
75885,"2nd Floor,Trade Centre,180 Multan Road",Lahore
75886,"#2,2nd Floor,Khawja Arcade,17-Wahdat Road",Lahore
75887,"Fazal Building,Cooper Road",Lahore
75888,"24-Peshawar Block,Fortress Stadium,Cantt.",Lahore
75889,"Bund Road Link,Bogiwal Road",Lahore
75890,"38/63,Rehman Street,Ahmad Din Park,Islampura",Lahore
75891,"#3,Al-Shams Hotel Building,Badami Bagh",Lahore
75892,42-Industrial Area Township,Lahore
75893,"25-B/D-1,Ghalib Road,Gulberg III,P.O.Box 3061",Lahore
75894,"6-K,Main Boulevard,Gulberg II",Lahore
75895,"237-P,Model Town",Lahore
75896,"2nd Floor,25-A,Wahdat Road",Lahore
75897,"102,Samee Town,Near Mian Aziz Bridge,Muslimabad",Lahore
75898,"21-B,Zafar Ali Road,Gulberg-5",Lahore
75899,"Aiwan-e-Auqaf,Shahrah-e-Quaid-e-Azam",Lahore
75900,"38-Commercial Building,Shahrah-e-Quaid-e-Azam",Lahore
75901,"4,2nd Floor,Shaukat Market,Azeem St.,10-Brandreth Road",Lahore
75902,"20/III,Taj Arcade,73 Jail Road",Lahore
75903,"22-KM. Ferozepur Road,Ghausia Park,Gajju Matta,Kahna",Lahore
75904,"Aziz Park,Al-Khyam Road,Behind Shezan Factory,Bund Road",Lahore
75905,"18,Nishter Road,Daroghawala",Lahore
75906,"81-A,Faisal Town",Lahore
75907,"18,Nishter Road,Daroghawala",Lahore
75908,152-Multan Road,Lahore
75909,"114 Gulberg Road,Gulberg,Ghausul Azam Colony",Lahore
75910,"343,Ferozepur Road,Bhabra Market,Bhabra",Lahore
75911,"Haji Yahya Colony,Ghorey Shah Road",Lahore
75912,"6th Floor,Awan-e-Auqaf,Near High Court",Lahore
75913,"1st Floor,Umer Plaza,Main Hall Road",Lahore
75914,"83-Nadeem Shaheed Road,Samnabad",Lahore
75915,"7-Rehmat Market,109-Lytton Rd.",Lahore
75916,Shalimar Link Road,Lahore
75917,"2-Abkari Road,Anarkali",Lahore
75918,"19-A/16,Abbot Road",Lahore
75919,"Suite # 1,Al-Siraj Building,11-Ferozepur Road",Lahore
75920,"#3,2nd Floor,Landmark Plaza,Jail Road",Lahore
75921,"151,Ferozepur Road",Lahore
75922,"319,Al-Falah Building,Shahrah-e-Quaid-e-Azam",Lahore
75923,"10/63,Afridi Mension,Shadman Market",Lahore
75924,"Loyal Building,Opp Custom House",Lahore
75925,"200,Ferozepur Road",Lahore
75926,"11,Akbari Road,Anarkali",Lahore
75927,Durrend Road,Lahore
75928,"162-Ali Block,New Garden Town",Lahore
75929,"8/42-1 Mughal Plaza,Lower Mall,Near Session Court",Lahore
75930,30-Lawrence Road,Lahore
75931,"9-KM.,Sheikhupura Road",Lahore
75932,"57,Tipu Block,New Garden Town",Lahore
75933,"58/47,Agro Square,Shadman Main Market",Lahore
75934,"109,Irfan Chambers,130-Temple Road",Lahore
75935,"Hanjarwal,9-KM. Multan Road",Lahore
75936,"27-Jinnah Colony,Thokar Niaz Baig,Multan Road",Lahore
75937,"23-Tample Road,Near Chowk Safanwala",Lahore
75938,"#7,2nd Floor,Shadman Plaza,Shadman Market",Lahore
75939,"41-F,Auto Centre,108 Layton Road",Lahore
75940,"30 Jinnah Town,Thokar Niaz Beg,Multan Road",Lahore
75941,"8-B,Main Boulevard,Faisal Town",Lahore
75942,"2,Akbari Road,Anarkali",Lahore
75943,"2-Abkari Road,Anarkali",Lahore
75944,"C-1784,Moti Bazar",Lahore
75945,"9/34,Civic Centre,New Garden Town,P.O.Box:2222",Lahore
75946,"117-Neelam Block,Allama Iqbal Town",Lahore
75947,"123,Upper Mall",Lahore
75948,"Baradary Road,Farkhabad,Shahdara",Lahore
75949,"Suit 86,2nd Flr.Hafeez Centre,Gulberg-III",Lahore
75950,"83A,Race View,Near Quality Lab,Off Jail Road",Lahore
75951,"Room No.12,Shadman Plaza,Shadman Shopping Centre",Lahore
75952,"91,3rd Flr,Hafeez Centre,Gulberg III",Lahore
75953,"10-C,Abid Majeed Road,Cantt.,P.O.Box:454",Lahore
75954,"411,A-I-Township",Lahore
75955,"5,Bagh Ali Road,Cantt.",Lahore
75956,"7-8,A Block,Store Market,Model Town",Lahore
75957,"17-Link Road,Model Town",Lahore
75958,"7A/K,Main Boulevard,Gulberg-II",Lahore
75959,46-Lower Mall,Lahore
75960,"315,Eden Centre,Jail Road",Lahore
75961,"Office No.6,5th Floor,Abrar Business Centre,25-Main Wahdat Road",Lahore
75962,"Akhavan House,38-Sir Agha Khan III Road,P.O.Box: 1201",Lahore
75963,"2 KM,Defence Road",Lahore
75964,"8-Bridge Colony,Abid Majeed Road,Cantt.",Lahore
75965,"C/7,Fera Apts,24-Jail Road",Lahore
75966,"18-KM,Ferozepure Road,Behind Nishtar Colony,Atta Bukhsh Road",Lahore
75967,"Flat #5,First Floor,Khawaja Arcade,17.A.Wahdat,Road",Lahore
75968,"5,Hunza Block,Main Boulevard,Allama Iqbal Town",Lahore
75969,"12-G,Shama Plaza,Ferozepur Rd.",Lahore
75970,"4-Gilgit Block,Fortress Stadium,Cantt.",Lahore
75971,"24-Commercial Zone,Liberty Market,Gulberg",Lahore
75972,17 McLeod Road,Lahore
75973,"Jallo Park Road,Canal Bank,Opp. Taj Bagh Pull,Herbanspura",Lahore
75974,"Sadiq Plaza,14 Ground Floor,69,The Mall",Lahore
75975,"55-C,Asian Complex,Mozang Road",Lahore
75976,"75,Ferozepura Road",Lahore
75977,"Suite #7,Auriga Complex,Gulberg",Lahore
75978,"22-K.M. G.T. Road,Kala Shah Kaku",Lahore
75979,"251-A,HBFC,Faisal Town",Lahore
75980,"Sialkot Block,Fortress Stadium,Cantt.",Lahore
75981,"312-A,Canal View Housing,Society,Multan Road",Lahore
75982,"Al-Murtaza Shopping Centre,1st Floor,18 Comm.Zone Apt.,30,Allama Iqbal Town",Lahore
75983,46-Bibi Pak Daman,Lahore
75984,"89-Hamid Nizami Road,(Temple Road)",Lahore
75985,"Ittehad Colony,PO Ismail Nagar,Chungi Amir Sidhu,Kot Lakhpat,Near PSO Depot",Lahore
75986,"17-J,Gulberg-III",Lahore
75987,"237/S,Industrial Area,Kot Lakhpat,Township Scheme",Lahore
75988,"Katar Bund Road,Niaz Baig Thokar,Multan Road",Lahore
75989,"92-F,Raja Centre,Main Boulevard,Gulberg",Lahore
75990,"Majeed Arcade,Scheme More,2-A,Allama Iqbal Town",Lahore
75991,"2nd Floor,Venus Plaza,7-Egerton Road",Lahore
75992,"72-B,Gulberg Centre,Opp. Pace",Lahore
75993,"2nd Floor,217 Eden Centre,43 Jail Road",Lahore
75994,16 Allama Iqbal Road,Lahore
75995,"Software Technology Park,5th Floor,Tower-II,Egerton Rd.,Aiwane-Iqbal Complex",Lahore
75996,57/12 Mozang Road,Lahore
75997,"F-4,1st Floor,Nawab Building,Shadman Market",Lahore
77269,"32-Ali Block,New Garden Town",Lahore
75998,"Room #3,2nd Floor,Bilal Center,9-Nicholson Road",Lahore
75999,"50-G,76-G,Raja Centre,Main Boulevard,Gulberg-II",Lahore
76000,"1st Floor,Room # 17,Taj Arcade",Lahore
76001,"26,Babar Mkt.79-Ferozepur Road",Lahore
76002,"304-B,Gulshan Ravi",Lahore
76003,"136-P-Mini Market,Gulberg II",Lahore
76004,17-Jail Road,Lahore
76005,"Ejaz Market,110 Layton Road",Lahore
76006,2-Beadon Road,Lahore
76007,"9-KM.,Sheikhupura Road,Shadhrah",Lahore
76008,"Adil House,4-Noon Avenue,Muslim Town",Lahore
76009,"Adil House,4-Noon Avenue,Muslim Town",Lahore
76010,"69-A/G,Auto Centre,Lytton Road",Lahore
76011,"Adil House,4-Noon Avenue,Muslim Town",Lahore
76012,"Adil House No.213,St.No.10,Cavalary Ground Ext.,Cantt.",Lahore
76013,"Room No.118,Abid Chamber,Shahrah-e-Fatima Jinnah",Lahore
76014,"16-E-Temple Road,Meth Street",Lahore
76015,"154 Abu Bakar Block,New Garden Town",Lahore
76016,"Ghafoor Chambers,Rehman Gali#3,Nishter(Brandreth)Road",Lahore
76017,"21,St.66,Kucha Saiful Malook,Fleming Road",Lahore
76018,"17-T,Gulberg II",Lahore
